Temperature;<-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;>=18
06:45-07:00;1.286088050;1.247115685;1.208143320;1.169170955;1.130198589;1.091226224;1.052253859;1.013281494;0.966514656;0.935336764;0.904158871;0.872980979;0.841803087;0.810625195;0.779447303;0.741469447;0.703491591;0.665513734;0.625825113;0.586136491;0.546447869;0.506759247;0.467070625;0.427382003;0.384522584;0.341663164;0.298803744;0.255944324;0.213084904;0.170225485;0.130334933;0.090444382;0.050553831
07:00-07:15;1.293027338;1.253844691;1.214662045;1.175479398;1.136296751;1.097114105;1.057931458;1.018748812;0.971729636;0.940383518;0.909037401;0.877691284;0.846345167;0.814999049;0.783652932;0.745922466;0.708191999;0.670461533;0.629280581;0.588099629;0.546918677;0.505737725;0.464556773;0.423375821;0.380269205;0.337162589;0.294055973;0.250949357;0.207842741;0.164736125;0.126734924;0.088733724;0.050732523
07:15-07:30;1.295459614;1.256203262;1.216946910;1.177690559;1.138434207;1.099177855;1.059921503;1.020665151;0.973557528;0.942152447;0.910747365;0.879342284;0.847937202;0.816532121;0.785127039;0.747483284;0.709839530;0.672195776;0.629405996;0.586616217;0.543826438;0.501036658;0.458246879;0.415457099;0.372937587;0.330418076;0.287898564;0.245379052;0.202859540;0.160340028;0.124438001;0.088535973;0.052633945
07:30-07:45;1.292841323;1.253664314;1.214487304;1.175310294;1.136133284;1.096956274;1.057779265;1.018602255;0.971589843;0.940248235;0.908906627;0.877565020;0.846223412;0.814881804;0.783540196;0.745803098;0.708066000;0.670328902;0.627111978;0.583895054;0.540678130;0.497461206;0.454244281;0.411027357;0.368390218;0.325753079;0.283115941;0.240478802;0.197841663;0.155204524;0.121377071;0.087549618;0.053722166
07:45-08:00;1.289086659;1.250023427;1.210960195;1.171896963;1.132833731;1.093770499;1.054707267;1.015644035;0.968768156;0.937517570;0.906266985;0.875016399;0.843765813;0.812515228;0.781264642;0.743393688;0.705522734;0.667651780;0.624705325;0.581758871;0.538812416;0.495865961;0.452919506;0.409973051;0.367251768;0.324530486;0.281809203;0.239087920;0.196366637;0.153645355;0.120316040;0.086986724;0.053657409
08:00-08:15;1.282997649;1.244118933;1.205240216;1.166361500;1.127482783;1.088604066;1.049725350;1.010846633;0.964192173;0.933089200;0.901986226;0.870883253;0.839780280;0.808677306;0.777574333;0.739486302;0.701398271;0.663310240;0.619999224;0.576688208;0.533377192;0.490066176;0.446755160;0.403444144;0.361471578;0.319499012;0.277526446;0.235553880;0.193581313;0.151608747;0.118800640;0.085992533;0.053184427
08:15-08:30;1.280077057;1.241286843;1.202496629;1.163706416;1.124916202;1.086125988;1.047335774;1.008545560;0.961997303;0.930965132;0.899932961;0.868900790;0.837868619;0.806836448;0.775804277;0.737612125;0.699419973;0.661227821;0.616879730;0.572531639;0.528183548;0.483835456;0.439487365;0.395139274;0.353495090;0.311850906;0.270206723;0.228562539;0.186918356;0.145274172;0.114795591;0.084317011;0.053838430
08:30-08:45;1.280998105;1.242179981;1.203361856;1.164543732;1.125725608;1.086907483;1.048089359;1.009271234;0.962689485;0.931634986;0.900580486;0.869525987;0.838471487;0.807416988;0.776362488;0.738203172;0.700043856;0.661884540;0.616229463;0.570574387;0.524919310;0.479264234;0.433609157;0.387954081;0.346889885;0.305825688;0.264761492;0.223697295;0.182633099;0.141568903;0.112535181;0.083501459;0.054467737
08:45-09:00;1.275901745;1.237238056;1.198574367;1.159910678;1.121246988;1.082583299;1.043919610;1.005255921;0.958859493;0.927928542;0.896997591;0.866066639;0.835135688;0.804204736;0.773273785;0.734932781;0.696591776;0.658250772;0.611490708;0.564730645;0.517970581;0.471210517;0.424450454;0.377690390;0.337435316;0.297180242;0.256925168;0.216670094;0.176415019;0.136159945;0.108949518;0.081739091;0.054528664
09:00-09:15;1.276062488;1.237393928;1.198725368;1.160056808;1.121388247;1.082719687;1.044051127;1.005382567;0.958980294;0.928045446;0.897110598;0.866175750;0.835240901;0.804306053;0.773371205;0.735035931;0.696700657;0.658365384;0.610016127;0.561666870;0.513317613;0.464968356;0.416619099;0.368269842;0.328724591;0.289179341;0.249634090;0.210088839;0.170543589;0.130998338;0.105196534;0.079394729;0.053592925
09:15-09:30;1.271952424;1.233408411;1.194864398;1.156320386;1.117776373;1.079232360;1.040688347;1.002144334;0.955891519;0.925056308;0.894221098;0.863385888;0.832550678;0.801715467;0.770880257;0.732398457;0.693916657;0.655434857;0.606375294;0.557315731;0.508256168;0.459196605;0.410137042;0.361077479;0.321907208;0.282736936;0.243566665;0.204396393;0.165226121;0.126055850;0.101598047;0.077140244;0.052682441
